ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2022,1,OTUZCO,AGALLPAMPA,Hurto,9471,36.6,1,1,0.67,1,1,1.056,BAJO
2022,1,ASCOPE,ASCOPE,Extorsión,6577,22.6,1,1,1.33,1,1,1.52,BAJO
2022,1,ASCOPE,ASCOPE,Hurto,6577,22.6,1,0,0.33,1,2,3.041,BAJO
2022,1,ASCOPE,ASCOPE,Violencia contra la mujer e integrantes,6577,22.6,3,2,3.0,2,4,6.082,MEDIO
2022,1,SANTIAGO DE CHUCO,CACHICADAN,Estafa,7335,27.4,0,0,0.0,1,1,1.363,BAJO
2022,1,SANTIAGO DE CHUCO,CACHICADAN,Violencia contra la mujer e integrantes,7335,27.4,0,1,1.0,1,2,2.727,BAJO
2022,1,JULCAN,CALAMARCA,Hurto,4823,16.4,0,0,0.0,2,2,4.147,BAJO
2022,1,JULCAN,CARABAMBA,Hurto,6009,22.4,0,0,0.0,0,1,1.664,BAJO
2022,1,JULCAN,CARABAMBA,Violencia contra la mujer e integrantes,6009,22.4,1,7,4.33,1,1,1.664,BAJO
2022,1,ASCOPE,CASA GRANDE,Estafa,31445,51.0,0,1,0.67,1,2,0.636,BAJO
2022,1,ASCOPE,CASA GRANDE,Extorsión,31445,51.0,7,5,6.33,4,8,2.544,MEDIO
2022,1,ASCOPE,CASA GRANDE,Hurto,31445,51.0,13,4,6.67,3,5,1.59,MEDIO
2022,1,ASCOPE,CASA GRANDE,Robo,31445,51.0,12,22,14.0,2,13,4.134,MEDIO
2022,1,ASCOPE,CASA GRANDE,Violencia contra la mujer e integrantes,31445,51.0,12,18,16.67,3,23,7.314,ALTO
2022,1,GRAN CHIMU,CASCAS,Estafa,12961,13.2,0,1,0.33,0,1,0.772,BAJO
2022,1,GRAN CHIMU,CASCAS,Hurto,12961,13.2,2,1,1.33,0,1,0.772,BAJO
2022,1,GRAN CHIMU,CASCAS,Violencia contra la mujer e integrantes,12961,13.2,4,3,3.67,-4,4,3.086,MEDIO
2022,1,VIRU,CHAO,Estafa,46748,27.3,3,4,2.33,-1,1,0.214,BAJO
2022,1,VIRU,CHAO,Hurto,46748,27.3,26,23,26.0,36,39,8.343,ALTO
2022,1,VIRU,CHAO,Robo,46748,27.3,26,15,18.67,6,10,2.139,MEDIO
2022,1,VIRU,CHAO,Violencia contra la mujer e integrantes,46748,27.3,19,47,29.67,-40,21,4.492,ALTO
2022,1,OTUZCO,CHARAT,Robo,2628,39.9,0,1,0.33,0,1,3.805,BAJO
2022,1,OTUZCO,CHARAT,Violencia contra la mujer e integrantes,2628,39.9,1,1,1.0,1,1,3.805,BAJO
2022,1,CHEPEN,CHEPEN,Estafa,51040,177.6,4,2,3.0,3,4,0.784,MEDIO
2022,1,CHEPEN,CHEPEN,Extorsión,51040,177.6,6,3,4.67,-1,3,0.588,BAJO
2022,1,CHEPEN,CHEPEN,Hurto,51040,177.6,17,18,17.67,8,22,4.31,ALTO
2022,1,CHEPEN,CHEPEN,Robo,51040,177.6,23,33,26.0,15,26,5.094,ALTO
2022,1,CHEPEN,CHEPEN,Violencia contra la mujer e integrantes,51040,177.6,37,31,34.33,-3,28,5.486,ALTO
2022,1,ASCOPE,CHICAMA,Estafa,16518,18.4,1,1,0.67,1,1,0.605,BAJO
2022,1,ASCOPE,CHICAMA,Extorsión,16518,18.4,0,0,0.0,2,2,1.211,BAJO
2022,1,ASCOPE,CHICAMA,Hurto,16518,18.4,3,4,4.0,1,3,1.816,BAJO
2022,1,ASCOPE,CHICAMA,Violencia contra la mujer e integrantes,16518,18.4,7,6,7.67,3,6,3.632,MEDIO
2022,1,PATAZ,CHILLIA,Violencia contra la mujer e integrantes,13239,41.3,5,2,3.33,0,1,0.755,BAJO
2022,1,ASCOPE,CHOCOPE,Extorsión,9519,94.9,0,2,1.0,3,3,3.152,BAJO
2022,1,ASCOPE,CHOCOPE,Hurto,9519,94.9,6,3,4.67,1,3,3.152,BAJO
2022,1,ASCOPE,CHOCOPE,Robo,9519,94.9,0,2,1.0,1,3,3.152,BAJO
2022,1,ASCOPE,CHOCOPE,Violencia contra la mujer e integrantes,9519,94.9,2,3,2.0,-6,3,3.152,BAJO
2022,1,SANCHEZ CARRION,COCHORCO,Hurto,9474,36.5,0,0,0.0,1,1,1.056,BAJO
2022,1,TRUJILLO,EL PORVENIR,Estafa,208231,5673.9,5,8,6.0,8,11,0.528,MEDIO
2022,1,TRUJILLO,EL PORVENIR,Extorsión,208231,5673.9,20,14,19.33,17,27,1.297,ALTO
2022,1,TRUJILLO,EL PORVENIR,Hurto,208231,5673.9,30,38,35.67,21,45,2.161,ALTO
2022,1,TRUJILLO,EL PORVENIR,Robo,208231,5673.9,24,51,37.67,2,31,1.489,ALTO
2022,1,TRUJILLO,EL PORVENIR,Violencia contra la mujer e integrantes,208231,5673.9,96,85,96.67,8,120,5.763,ALTO
2022,1,TRUJILLO,FLORENCIA DE MORA,Estafa,36706,18445.2,1,4,2.0,1,2,0.545,BAJO
2022,1,TRUJILLO,FLORENCIA DE MORA,Extorsión,36706,18445.2,5,3,4.67,1,3,0.817,BAJO
2022,1,TRUJILLO,FLORENCIA DE MORA,Hurto,36706,18445.2,37,41,41.33,-17,35,9.535,ALTO
2022,1,TRUJILLO,FLORENCIA DE MORA,Robo,36706,18445.2,15,13,13.33,7,18,4.904,ALTO
2022,1,TRUJILLO,FLORENCIA DE MORA,Violencia contra la mujer e integrantes,36706,18445.2,27,33,30.67,12,40,10.897,ALTO
2022,1,PACASMAYO,GUADALUPE,Estafa,46836,192.4,4,6,4.67,1,2,0.427,BAJO
2022,1,PACASMAYO,GUADALUPE,Extorsión,46836,192.4,1,6,3.33,5,6,1.281,MEDIO
2022,1,PACASMAYO,GUADALUPE,Hurto,46836,192.4,17,12,12.67,4,11,2.349,MEDIO
2022,1,PACASMAYO,GUADALUPE,Robo,46836,192.4,20,7,12.67,7,19,4.057,ALTO
2022,1,PACASMAYO,GUADALUPE,Violencia contra la mujer e integrantes,46836,192.4,34,27,27.67,-4,33,7.046,ALTO
2022,1,VIRU,GUADALUPITO,Extorsión,6844,17.6,0,0,0.67,0,1,1.461,BAJO
2022,1,VIRU,GUADALUPITO,Robo,6844,17.6,2,6,4.33,2,3,4.383,BAJO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Estafa,68248,160.9,6,5,3.67,0,4,0.586,MEDIO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Extorsión,68248,160.9,0,0,0.0,2,2,0.293,BAJO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Hurto,68248,160.9,17,12,16.0,5,14,2.051,MEDIO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Robo,68248,160.9,6,4,4.0,3,5,0.733,MEDIO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Secuestro,68248,160.9,1,0,0.33,3,3,0.44,BAJO
2022,1,SANCHEZ CARRION,HUAMACHUCO,Violencia contra la mujer e integrantes,68248,160.9,40,33,35.67,34,45,6.594,ALTO
2022,1,PATAZ,HUANCASPATA,Violencia contra la mujer e integrantes,6236,20.6,0,0,0.0,0,1,1.604,BAJO
2022,1,TRUJILLO,HUANCHACO,Estafa,81248,243.3,1,0,1.67,1,2,0.246,BAJO
2022,1,TRUJILLO,HUANCHACO,Extorsión,81248,243.3,2,4,4.0,8,8,0.985,MEDIO
2022,1,TRUJILLO,HUANCHACO,Hurto,81248,243.3,31,27,27.33,0,26,3.2,ALTO
2022,1,TRUJILLO,HUANCHACO,Robo,81248,243.3,20,12,15.33,-3,7,0.862,MEDIO
2022,1,TRUJILLO,HUANCHACO,Violencia contra la mujer e integrantes,81248,243.3,41,37,42.0,-20,50,6.154,ALTO
2022,1,PATAZ,HUAYLILLAS,Hurto,3608,28.0,0,0,0.33,1,1,2.772,BAJO
2022,1,PACASMAYO,JEQUETEPEQUE,Extorsión,3905,78.3,0,0,0.0,1,1,2.561,BAJO
2022,1,PACASMAYO,JEQUETEPEQUE,Hurto,3905,78.3,0,2,0.67,4,4,10.243,MEDIO
2022,1,PACASMAYO,JEQUETEPEQUE,Robo,3905,78.3,0,0,0.0,2,2,5.122,BAJO
2022,1,JULCAN,JULCAN,Hurto,10301,49.5,0,0,0.33,1,2,1.942,BAJO
